0,Lufthansa,1953,Germany,Frankfurt
1,KLM,1919,Netherlands,Amsterdam
2,Aegean Airlines,1987,Greece,Athens
3,Air France,1933,France,Paris
4,Delta Airlines,1924,USA,Atlanta
5,United Airlines,1926,USA,Chicago
6,American Airlines,1926,USA,Denver
7,Hawaian Airlines,1929,USA,Honolulu
8,Southwest Airlines,1967,USA,Dallas
9,Virgin America,2004,USA,San Francisco
10,Air Canada,1965,Canada,Montreal
11,Air Berlin,1991,Germany,Berlin
12,Olympic Airlines,1957,Greece,Athens
13,Ellinair,2013,Greece,Athens
14,Iberia,1927,Spain,Madrid
15,Swiftair,1986,Spain,Barcelona
16,British Airways,1974,UK,London
17,Atlantic Airlines,2001,UK,London
18,Air Italy,2005,Italy,Rome
19,Alitalia,1999,Italy,Rome
20,Cyprus Airlines,2017,Cyprus,Lanarca
21,Air Japan,2001,Japan,Tokyo
22,Japan Airlines,1951,Japan,Tokyo
23,Air Asia,2016,Japan,Tokyo
24,Air Link,1971,Australia,Sydney
25,Airlines of Tasmania,1978,Tasmania,Launceston
26,JetGo Australia,2011,Australia,Brisbane
27,Virgin Australia,2000,Australia,Sydney
28,Air New Zealand,1965,New Zealand,Auckland
29,Air China,1988,China,Beijing
30,China Eastern Airlines,1988,China,Beijing
31,China Southern Airlines,1988,China,Beijing
32,Shanghai Airlines,1985,China,Shanghai
33,Air Seoul,2016,South Korea,Seoul
34,Asiana Airlines,1988,South Korea,Seoul
35,Air Arabia,2003,United Arab Emirates,Sharjah
36,Aerolineas Argentinas,1949,Argentina,Buenos Aires
37,Avianca,1917,Colombia,Bogota
38,Aeromas,1983,Urugay,Ciudad de la Costa
39,Air Cairo,2003,Egypt,Cairo
40,Air Arabia Egypt,2009,Egypt,Cairo
41,Alexandria Airlines,2007,Egypt,Alexandria
42,South African Airways,1934,South Africa,Pretoria
43,Austrian Airlines,1957,Austria,Vienna
44,Air Hamburg,2001,Germany,Hamburg
45,Aer Lingus,1936,Ireland,Dublin
46,Scandinavian Airlines,1946,Sweden,Stockholm
47,Turkish Airlines,1933,Turkey,Instabul
48,Air Belgium,2017,Belgium,Brussels
49,Aeromexico,1934,Mexico,Mexico City
50,Aeromar,1987,Mexico,Mexico City
51,Alaska Airlines,1932,USA,Seattle
52,Jet Blue,1998,USA,New York
53,Cubana,1929,Cuba,Havana
